asx_ticker,n_asx_etfs,etfs,etf_shares,inflow5_usd,adv_dollars_63d,last_close,etf_pct_float,days_to_exit_20pct_adv,inflow5_buy_days,forced_flow_score
MTS.AX,16,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,HVST.AX,IHD.AX,IOZ.AX,ISO.AX,MVE.AX,MVOL.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX,VSO.AX,ZYAU.AX",49201266.0,5366037.427882207,14450744.323015872,3.12,0.04473956146693539,50.75538958393113,0.37133294368343744,0.7665341858722025
CGF.AX,16,"A200.AX,AUMF.AX,EX20.AX,FAIR.AX,GEAR.AX,GRNV.AX,HVST.AX,IOZ.AX,MVE.AX,MVOL.AX,QFN.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX,VSO.AX",22488895.0,7213686.412535654,14568594.077142853,9.96,0.03288731175351212,68.12417149191914,0.4951532299093599,0.7631285370797344
STO.AX,16,"A200.AX,AUMF.AX,GEAR.AX,HVST.AX,IOZ.AX,IVE.AX,MVOL.AX,MVR.AX,MVW.AX,QOZ.AX,QRE.AX,VAS.AX,VEU.AX,VHY.AX,VVLU.AX,ZYAU.AX",151467398.0,36382436.88291041,116114972.30888887,7.3,0.046745334812078626,51.016670684848066,0.31333114205225754,0.7607851068709746
QRI.AX,2,"VAP.AX,VAS.AX",34255845.0,1382317.9464188209,1370022.2993650793,1.525,0.05427751915629892,193.8476412450761,1.00897477877509,0.7568616301541089
DXI.AX,6,"AUMF.AX,ISO.AX,QOZ.AX,VAP.AX,VAS.AX,VSO.AX",14808991.0,962578.4694054987,1743170.6393650793,2.46,0.047056589324639506,102.05643267446042,0.5521997948268,0.7554816244695409
CPU.AX,14,"A200.AX,EX20.AX,FAIR.AX,GEAR.AX,GRNV.AX,HVST.AX,IOZ.AX,IVE.AX,MVOL.AX,MVW.AX,QOZ.AX,VAS.AX,VEU.AX,WDMF.AX",20878782.0,22669000.245801922,48830067.07666667,36.74,0.03609828622240006,69.39173664090787,0.46424266037173334,0.7549929326993248
VNT.AX,13,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IHD.AX,IOZ.AX,ISO.AX,MVOL.AX,QOZ.AX,VAS.AX,VHY.AX,VSO.AX,ZYAU.AX",32331302.0,7298785.882451931,14836979.576349208,6.69,0.03937249918992917,62.62645915904297,0.49193205698594566,0.7539595759180632
VGAD.AX,4,"VDBA.AX,VDCO.AX,VDGR.AX,VDHG.AX",4274884.0,5711397.780362579,13129565.303333333,129.9,0.07741985631913396,203.89500331828106,0.435002808426001,0.7520106964254163
S32.AX,13,"A200.AX,EX20.AX,GEAR.AX,IOZ.AX,IVE.AX,MVOL.AX,MVR.AX,MVW.AX,QOZ.AX,QRE.AX,VAS.AX,VEU.AX,VHY.AX",192128622.0,26791381.1484968,67637511.97714287,4.15,0.0428731350396292,62.3166607548203,0.3961024047949984,0.7474593712516694
VGS.AX,4,"VDBA.AX,VDCO.AX,VDGR.AX,VDHG.AX",6842774.0,11214286.450099533,26913887.288730163,158.71,0.08154990115980514,192.48862914639207,0.41667286222140676,0.7469922764499763
NXT.AX,13,"A200.AX,EX20.AX,FAIR.AX,GEAR.AX,GRNV.AX,IOZ.AX,MVE.AX,MVOL.AX,MVW.AX,QOZ.AX,VAS.AX,VEU.AX,VSO.AX",30933412.0,16476674.517339725,39928037.446984135,14.78,0.042808284717756495,54.639423256335476,0.4126592632862863,0.7417307588898192
